Query ID,Dashboard ID (User-defined only),Dashboard Title,History Average Runtime in Seconds,History Query Run Count
216499,1177,Fashion.ly Brand Performance,79.76237273,35
198523,1177,Fashion.ly Brand Performance,60.9216875,24
198072,1177,Fashion.ly Brand Performance,50.38475,59
196481,1177,Fashion.ly Brand Performance,40.39205,41
196631,1177,Fashion.ly Brand Performance,26.88085,26
197203,1177,Fashion.ly Brand Performance,22.21756667,11
214484,1177,Fashion.ly Brand Performance,21.16862667,35
218433,1077,Flights,19.0007,13
198062,1177,Fashion.ly Brand Performance,16.22185,62
198510,1177,Fashion.ly Brand Performance,15.65434286,24
232953,1245,Final Case Demo: Order Performance - Old,15.61821667,150
240932,1245,Final Case Demo: Order Performance - Old,15.28400588,34
196642,1177,Fashion.ly Brand Performance,13.02079333,17
235498,1254,Fashion.ly Executive Summary (for demo),12.9537,27
240932,1273,BC: Order Periods Performance,12.84301053,248
232085,1245,Final Case Demo: Order Performance - Old,12.30292,82
238346,1245,Final Case Demo: Order Performance - Old,12.17131538,34
213800,998,Order Patterns and Frequency,11.04806,11
109340,1020,Business Pulse,10.42038,50
207171,1206,Fashion.ly Customer Behavior Dash - Use Case 3,10.30657273,45
207090,1206,Fashion.ly Customer Behavior Dash - Use Case 3,10.00854,10
